Period End,GHI,Period
2022-06-28T08:00:00.0000000Z,0,PT30M
2022-06-28T07:30:00.0000000Z,0,PT30M
2022-06-28T07:00:00.0000000Z,32,PT30M
2022-06-28T06:30:00.0000000Z,99,PT30M
2022-06-28T06:00:00.0000000Z,171,PT30M
2022-06-28T05:30:00.0000000Z,222,PT30M
2022-06-28T05:00:00.0000000Z,221,PT30M
2022-06-28T04:30:00.0000000Z,331,PT30M
2022-06-28T04:00:00.0000000Z,267,PT30M
2022-06-28T03:30:00.0000000Z,294,PT30M
2022-06-28T03:00:00.0000000Z,111,PT30M
2022-06-28T02:30:00.0000000Z,164,PT30M
2022-06-28T02:00:00.0000000Z,133,PT30M
2022-06-28T01:30:00.0000000Z,210,PT30M
2022-06-28T01:00:00.0000000Z,148,PT30M
2022-06-28T00:30:00.0000000Z,157,PT30M
2022-06-28T00:00:00.0000000Z,244,PT30M
2022-06-27T23:30:00.0000000Z,190,PT30M
2022-06-27T23:00:00.0000000Z,125,PT30M
2022-06-27T22:30:00.0000000Z,56,PT30M
2022-06-27T22:00:00.0000000Z,9,PT30M
2022-06-27T21:30:00.0000000Z,0,PT30M
2022-06-27T21:00:00.0000000Z,0,PT30M
2022-06-27T20:30:00.0000000Z,0,PT30M
2022-06-27T20:00:00.0000000Z,0,PT30M
2022-06-27T19:30:00.0000000Z,0,PT30M
2022-06-27T19:00:00.0000000Z,0,PT30M
2022-06-27T18:30:00.0000000Z,0,PT30M
2022-06-27T18:00:00.0000000Z,0,PT30M
2022-06-27T17:30:00.0000000Z,0,PT30M
2022-06-27T17:00:00.0000000Z,0,PT30M
2022-06-27T16:30:00.0000000Z,0,PT30M
2022-06-27T16:00:00.0000000Z,0,PT30M
2022-06-27T15:30:00.0000000Z,0,PT30M
2022-06-27T15:00:00.0000000Z,0,PT30M
2022-06-27T14:30:00.0000000Z,0,PT30M
2022-06-27T14:00:00.0000000Z,0,PT30M
2022-06-27T13:30:00.0000000Z,0,PT30M
2022-06-27T13:00:00.0000000Z,0,PT30M
2022-06-27T12:30:00.0000000Z,0,PT30M
2022-06-27T12:00:00.0000000Z,0,PT30M
2022-06-27T11:30:00.0000000Z,0,PT30M
2022-06-27T11:00:00.0000000Z,0,PT30M
2022-06-27T10:30:00.0000000Z,0,PT30M
2022-06-27T10:00:00.0000000Z,0,PT30M
2022-06-27T09:30:00.0000000Z,0,PT30M
2022-06-27T09:00:00.0000000Z,0,PT30M
2022-06-27T08:30:00.0000000Z,0,PT30M
2022-06-27T08:00:00.0000000Z,0,PT30M
2022-06-27T07:30:00.0000000Z,0,PT30M
2022-06-27T07:00:00.0000000Z,24,PT30M
2022-06-27T06:30:00.0000000Z,88,PT30M
2022-06-27T06:00:00.0000000Z,159,PT30M
2022-06-27T05:30:00.0000000Z,229,PT30M
2022-06-27T05:00:00.0000000Z,287,PT30M
2022-06-27T04:30:00.0000000Z,275,PT30M
2022-06-27T04:00:00.0000000Z,222,PT30M
2022-06-27T03:30:00.0000000Z,172,PT30M
2022-06-27T03:00:00.0000000Z,116,PT30M
2022-06-27T02:30:00.0000000Z,306,PT30M
2022-06-27T02:00:00.0000000Z,348,PT30M
2022-06-27T01:30:00.0000000Z,140,PT30M
2022-06-27T01:00:00.0000000Z,173,PT30M
2022-06-27T00:30:00.0000000Z,245,PT30M
2022-06-27T00:00:00.0000000Z,224,PT30M
2022-06-26T23:30:00.0000000Z,161,PT30M
2022-06-26T23:00:00.0000000Z,75,PT30M
2022-06-26T22:30:00.0000000Z,49,PT30M
2022-06-26T22:00:00.0000000Z,8,PT30M
2022-06-26T21:30:00.0000000Z,0,PT30M
2022-06-26T21:00:00.0000000Z,0,PT30M
2022-06-26T20:30:00.0000000Z,0,PT30M
2022-06-26T20:00:00.0000000Z,0,PT30M
2022-06-26T19:30:00.0000000Z,0,PT30M
2022-06-26T19:00:00.0000000Z,0,PT30M
2022-06-26T18:30:00.0000000Z,0,PT30M
2022-06-26T18:00:00.0000000Z,0,PT30M
2022-06-26T17:30:00.0000000Z,0,PT30M
2022-06-26T17:00:00.0000000Z,0,PT30M
2022-06-26T16:30:00.0000000Z,0,PT30M
2022-06-26T16:00:00.0000000Z,0,PT30M
2022-06-26T15:30:00.0000000Z,0,PT30M
2022-06-26T15:00:00.0000000Z,0,PT30M
2022-06-26T14:30:00.0000000Z,0,PT30M
2022-06-26T14:00:00.0000000Z,0,PT30M
2022-06-26T13:30:00.0000000Z,0,PT30M
2022-06-26T13:00:00.0000000Z,0,PT30M
2022-06-26T12:30:00.0000000Z,0,PT30M
2022-06-26T12:00:00.0000000Z,0,PT30M
2022-06-26T11:30:00.0000000Z,0,PT30M
2022-06-26T11:00:00.0000000Z,0,PT30M
2022-06-26T10:30:00.0000000Z,0,PT30M
2022-06-26T10:00:00.0000000Z,0,PT30M
2022-06-26T09:30:00.0000000Z,0,PT30M
2022-06-26T09:00:00.0000000Z,0,PT30M
2022-06-26T08:30:00.0000000Z,0,PT30M
2022-06-26T08:00:00.0000000Z,0,PT30M
